nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;211750.01942;ACEH
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;955193.09271;"SUMATERA UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;285378.63998;"SUMATERA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;991589.59206;RIAU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;276316.36916;JAMBI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;591603.48138;"SUMATERA SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;90111.94704;BENGKULU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;414131.42291;LAMPUNG
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;95285.43242;"KEP. BANGKA BELITUNG"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;308842.67753;"KEP. RIAU"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;3186469.91296;"DKI JAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;2422782.32062;"JAWA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;1560899.01808;"JAWA TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;165690.20994;"DI YOGYAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;2730907.08862;"JAWA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;747250.29457;BANTEN
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;245233.23642;BALI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;156944.054;"NUSA TENGGARA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;118718.19725;"NUSA TENGGARA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;255797.27897;"KALIMANTAN BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;199947.89591;"KALIMANTAN TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;251256.54242;"KALIMANTAN SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;921332.97953;"KALIMANTAN TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;138718.18161;"KALIMANTAN UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;157028.35608;"SULAWESI UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;323617.15547;"SULAWESI TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;605144.67681;"SULAWESI SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;158761.13422;"SULAWESI TENGGARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;47574.43434;GORONTALO
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;54070.98072;"SULAWESI BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;53692.90818;MALUKU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;70902.6098;"MALUKU UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;91291.75484;"PAPUA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2022;Tahun;262515.81848;PAPUA
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;184978.75357;ACEH
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;859934.26244;"SUMATERA UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;253101.27647;"SUMATERA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;839010.12754;RIAU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2021;Tahun;232064.12121;JAMBI
