id_1;region
1;Aceh
2;Bali
3;Kep. Bangka Belitung
4;Banten
5;Bengkulu
6;Gorontalo
7;Papua Barat
8;DKI Jakarta
9;Jambi
10;Jawa Barat
11;Jawa Tengah
12;Jawa Timur
13;Kalimantan Barat
14;Kalimantan Selatan
15;Kalimantan Tengah
16;Kalimantan Timur
18;Kep. Riau
19;Lampung
20;Maluku Utara
21;Maluku
22;Nusa Tenggara Barat
23;Nusa Tenggara Timur
24;Papua
25;Riau
26;Sulawesi Barat
27;Sulawesi Selatan
28;Sulawesi Tengah
29;Sulawesi Tenggara
30;Sulawesi Utara
31;Sumatera Barat
32;Sumatera Selatan
33;Sumatera Utara
34;DI Yogyakarta
35;Kalimantan Utara
